,song id,singer,song
0,1,陈奕迅,陀飞轮
1,2,陈奕迅,葡萄成熟时
2,3,陈奕迅,浮夸
3,4,陈奕迅,富士山下
4,6,陈奕迅,不如不见
5,7,陈奕迅,K歌之王
6,15,陈奕迅,明年今日
7,16,陈奕迅,Shall we talk
8,27,陈奕迅,岁月如歌
9,44,陈奕迅,白玫瑰
10,46,陈奕迅,神奇化妆师
11,71,陈奕迅,囍帖街
12,72,陈奕迅,阿牛
13,84,陈奕迅,落花流水
14,103,陈奕迅,无人之境
15,104,陈奕迅,一丝不挂
16,109,陈奕迅,最佳损友
17,110,陈奕迅,反高潮
18,111,陈奕迅,信心花舍
19,120,陈奕迅,最冷一天
20,122,陈奕迅,孤儿仔
21,123,陈奕迅,重口味
22,124,陈奕迅,苦瓜
23,125,陈奕迅,人车志
24,139,陈奕迅,Katrina
25,140,陈奕迅,1874
26,141,陈奕迅,单车
27,142,陈奕迅,低等动物
28,143,陈奕迅,人来人往
29,144,陈奕迅,绵绵
30,145,陈奕迅,活着多好
31,146,陈奕迅,沙龙
32,159,陈奕迅,幸福摩天轮
33,160,陈奕迅,裙下之臣
34,171,陈奕迅,十面埋伏
35,173,陈奕迅,2001太空漫游
36,179,陈奕迅,不来也不去
37,180,陈奕迅,完
38,181,陈奕迅,非礼
39,182,陈奕迅,Class
40,183,陈奕迅,碌卡
41,184,陈奕迅,笑死朕
42,185,陈奕迅,蚊
43,186,陈奕迅,Let It Out
44,187,陈奕迅,习惯说
45,188,陈奕迅,信任
46,193,陈奕迅,今天只做一件事
47,205,陈奕迅,天公地道
48,236,陈奕迅,防不胜防
49,244,陈奕迅,Lonely Christmas
50,247,陈奕迅,黑择明
51,248,陈奕迅,天下无双
52,249,陈奕迅,打得火热
53,250,陈奕迅,冲口而出
54,251,陈奕迅,打回原形
55,252,陈奕迅,给爱丽斯
56,253,陈奕迅,随意门
57,255,陈奕迅,夕阳无限好
58,256,陈奕迅,听听
59,257,陈奕迅,Crying in the Party
60,258,陈奕迅,歌颂
61,259,陈奕迅,七百年后
62,260,陈奕迅,讲男讲女
63,261,陈奕迅,与我常在
64,281,陈奕迅,倾城
65,282,陈奕迅,失恋太少
66,284,陈奕迅,六月飞霜
67,294,陈奕迅,喜帖街
68,298,陈奕迅,黑暗中漫舞
69,309,陈奕迅,粤语残片
70,314,陈奕迅,于心有愧
71,322,陈奕迅,大开眼戒
72,336,陈奕迅,烂
73,358,陈奕迅,每一个明天
74,376,陈奕迅,伤信
75,411,陈奕迅,最后派对
76,481,陈奕迅,大个女
77,484,陈奕迅,猜情寻
78,485,陈奕迅,我的快乐时代
79,493,陈奕迅,24
80,495,陈奕迅,万佛朝宗
81,498,陈奕迅,和平饭店
82,514,陈奕迅,不求人
83,521,陈奕迅,太阳照常升起
84,555,陈奕迅,New Order
85,619,陈奕迅,冤气
86,630,陈奕迅,几许风雨
87,633,陈奕迅,月球上的人
88,634,陈奕迅,最后的嬉皮士
89,648,陈奕迅,我有我爱你
90,651,陈奕迅,小孩不懂怕
91,652,陈奕迅,爱情幼稚
92,656,陈奕迅,开不了心
93,658,陈奕迅,时光倒流二十年
94,664,陈奕迅,超人的主题曲
95,683,陈奕迅,暴殄天物
96,705,陈奕迅,一个旅人
97,825,陈奕迅,最后今晚
98,852,陈奕迅,抱拥这分钟
99,862,陈奕迅,黄金时代
100,872,陈奕迅,细路
101,904,陈奕迅,玛利奥派对
102,907,陈奕迅,安守本份
103,908,陈奕迅,心深伤透
104,916,陈奕迅,相信相依
105,938,陈奕迅,Stranger Under My Skin
106,941,陈奕迅,忘记歌词
107,942,陈奕迅,时代巨轮
108,945,陈奕迅,演唱会
109,947,陈奕迅,变色龙
110,948,陈奕迅,热岛小夜曲
111,949,陈奕迅,超错
112,974,陈奕迅,黑夜不再来
113,1004,陈奕迅,当这地球没有花
114,1027,陈奕迅,阿士匹灵
115,1028,陈奕迅,张氏情歌
116,1038,陈奕迅,一个人
117,1039,陈奕迅,他一个人
118,1041,陈奕迅,今日
119,1070,陈奕迅,三个人的探戈
120,1073,陈奕迅,其实我记得
121,1077,陈奕迅,贝多芬与我
122,1078,陈奕迅,我不好爱
123,1079,陈奕迅,主旋律
124,1110,陈奕迅,同舟之情
125,1125,陈奕迅,阿猫阿狗
126,1126,陈奕迅,床头床尾
127,1127,陈奕迅,告别娑婆
128,1128,陈奕迅,斯德哥尔摩情人
129,1129,陈奕迅,任我行
130,1130,陈奕迅,远在咫尺
131,1131,陈奕迅,失忆蝴蝶
132,1196,陈奕迅,还有什么可以送给你
133,1236,陈奕迅,今天等我来
134,1303,陈奕迅,我什么都没有
135,1318,陈奕迅,爱上你是我眼睛的错
136,1357,陈奕迅,一切还好
137,1516,陈奕迅,时代曲
138,1545,陈奕迅,活跃症
139,1565,陈奕迅,飘飘飘飘
140,1579,陈奕迅,我怕你不肯
141,1645,陈奕迅,眼眉调
